JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords
NET-E-017,.NET Developer,Experienced,3+,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure
NET-E-018,.NET Developer,Experienced,5+,C#; ASP.NET Core; Microservices; Kubernetes; Entity Framework; Azure; SOLID Principles,Design and manage microservices architecture; Deploy apps on Kubernetes clusters; Ensure best practices with SOLID principles; Lead development sprints; Coordinate with product teams,.NET Core; C#; Microservices; Kubernetes; Entity Framework; Azure; SOLID
NET-E-019,.NET Developer,Experienced,4+,C#; .NET Core; ASP.NET MVC; Testing with xUnit; Moq; Azure,Implement automated unit tests; Use Moq for dependency testing; Develop scalable apps in .NET Core; Lead code review sessions; Optimize app performance,.NET Core; C#; ASP.NET MVC; xUnit; Moq; Azure
NET-E-020,.NET Developer,Experienced,5+,C#; .NET Core; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs,Lead CI/CD setup in Azure DevOps; Deploy services with Docker/Kubernetes; Architect scalable .NET applications; Coordinate with cross-functional teams; Mentor juniors,.NET Core; C#; ASP.NET MVC; CI/CD; Azure DevOps; Docker; Kubernetes; REST APIs
AI001,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB; NoSQL,Assist in developing AI models; Preprocess data; Implement basic ML algorithms; Participate in hackathons and academic projects,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
AI002,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build simple AI models; Preprocess datasets; Implement basic ML pipelines; Work collaboratively on projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI003,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support AI development; Create and test ML models; Perform data preprocessing and feature engineering; Collaborate with mentors,AI; ML; Fresher; Entry-Level; Python; Deep Learning; TensorFlow; PyTorch
AI004,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Implement basic AI/ML models; Assist with data preprocessing and visualization; Participate in small projects or hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI005,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in AI model development; Data cleaning; Implement basic neural networks; Collaborate on academic or hackathon projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI006,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI007,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Assist in developing AI pipelines; Train basic ML/DL models; Preprocess data; Participate in hackathons or academic projects,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI008,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Classification; Regression; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,"Implement and test ML/AI models; Clean and preprocess data; Contribute to academic, hobby, or hackathon projects",AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
AI009,AI Engineer - Fresher,Entry-Level,0–1 year,Python; Java; C++; R; Supervised/Unsupervised Learning; Regression; Classification; Clustering; TensorFlow; PyTorch; Keras; Scikit-learn; Neural Networks; OpenCV; NLTK; Pandas; NumPy; SQL; MongoDB,Support development of AI projects; Preprocess datasets; Build basic ML/DL models; Participate in collaborative projects and hackathons,AI; ML; Fresher; Entry-Level; Python; TensorFlow; Deep Learning
AI010,AI Engineer - Experienced,Mid-Senior Level,3–6 years,Python; Java; C++; R; Deep Learning; Reinforcement Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Apache Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,Architect and deploy scalable AI models; Optimize deep learning and NLP pipelines; Integrate AI solutions with cloud platforms; Lead AI projects,AI; ML; Mid-Senior Level; Deep Learning; NLP; Cloud; MLOps; TensorFlow; PyTorch
AI011,AI Engineer - Experienced,Senior-Level,4–7 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Scikit-learn; Hugging Face Transformers; ONNX; AWS; GCP; Azure; CI/CD; MLOps; Spark; Hadoop; Docker; Kubernetes; Model Monitoring; SHAP; LIME,"Design, implement, and deploy advanced AI solutions; Lead teams; Ensure cloud integration; Manage MLOps pipelines",AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI012,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face Transformers; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Lead AI engineering projects; Deploy scalable deep learning models; Manage cloud-based AI platforms; Mentor junior AI engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI013,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; CI/CD; Docker; Kubernetes; Spark; Hadoop; SHAP; LIME,Architect AI/ML pipelines; Integrate models with cloud platforms; Optimize NLP and computer vision solutions; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI014,AI Engineer - Experienced,Senior-Level,5–8 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Design and deploy production-grade AI solutions; Manage AI cloud platforms; Lead AI engineering teams; Implement MLOps practices; Ensure model explainability,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI015,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Implement scalable deep learning and NLP pipelines; Deploy models in cloud environments; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI016,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Hadoop; Spark; SHAP; LIME,Architect AI pipelines; Optimize deep learning and NLP solutions; Manage cloud AI infrastructure; Lead cross-functional AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI017,,Senior-Level,5–10 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead complex AI and ML projects; Develop scalable deep learning and NLP pipelines; Manage cloud AI infrastructure; Mentor junior engineers,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI018,AI Engineer - Experienced,Senior-Level,6+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; LLMs; Reinforcement Learning; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML initiatives; Deploy advanced deep learning models; Optimize pipelines; Mentor and guide AI teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI019,AI Engineer - Experienced,Senior-Level,5–9 years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Generative AI; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Manage large-scale AI projects; Implement predictive analytics solutions; Optimize ML/AI pipelines; Provide strategic business insights,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI020,AI Engineer - Experienced,Senior-Level,5+ years,Python; Java; C++; R; Deep Learning; NLP; Computer Vision; Reinforcement Learning; LLMs; TensorFlow; PyTorch; Keras; Scikit-learn; Hugging Face; ONNX; AWS; GCP; Azure; Docker; Kubernetes; CI/CD; Spark; Hadoop; SHAP; LIME,Lead AI/ML projects; Deploy and scale deep learning and NLP models; Optimize cloud pipelines; Mentor junior AI engineers and lead teams,AI; ML; Senior-Level; Deep Learning; NLP; Cloud; MLOps
AI-F-001,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face Transformers basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Assist in designing prompts for AI models; Test and evaluate prompt effectiveness; Collaborate with AI/data science teams; Document prompt experiments; Support AI model integration tasks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; AI Model Optimization; Hugging Face; GPT; Data Analysis
AI-F-002,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Write and test basic prompts for AI models; Assist in NLP-related tasks; Collaborate with data science teams; Document prompt testing results; Support AI platform integration; Learn AI model evaluation techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI-F-003,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; OpenAI GPT models exposure; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Collaboration; Creativity,Assist in prompt design for AI models; Evaluate prompt outcomes; Support AI/data science team tasks; Document experiments; Learn NLP libraries; Assist in integration of prompts into AI applications,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI-F-004,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP introduction; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Collaboration; Creativity; Problem-solving; Communication,Write and test AI prompts; Support NLP tasks; Collaborate with AI/data science teams; Document prompt testing results; Assist with AI model integration; Learn and apply AI frameworks,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI-F-005,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT model basics; TensorFlow basics; PyTorch basics; Critical thinking; Communication; Teamwork; Creativity,Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI-F-006,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Introductory NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT model exposure; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Write and refine prompts for AI models; Support NLP and data analysis tasks; Collaborate with AI/data teams; Document prompt results and learnings; Assist in AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI-F-007,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT intro; TensorFlow basics; PyTorch basics; Communication; Teamwork; Problem-solving; Creativity,Assist in prompt creation for AI models; Test prompt performance; Collaborate with AI/data teams; Document experiments; Support AI model integration and evaluation,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI-F-008,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Communication; Creativity,Write and test AI prompts; Assist NLP-related tasks; Collaborate with AI/data teams; Document prompt results; Support AI model evaluation and integration,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI-F-009,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; Intro to NLP; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing; OpenAI GPT basics; TensorFlow basics; PyTorch basics; Problem-solving; Communication; Teamwork; Creativity,Assist in prompt design and testing; Collaborate with AI/data science teams; Document prompt experiments; Learn prompt optimization techniques; Support AI integration projects,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; Data Analysis
AI-F-010,AI Prompt Engineer,Fresher,0-1,Python basics; JavaScript basics; NLP basics; Hugging Face basics; SpaCy basics; NLTK basics; Prompt writing fundamentals; GPT models intro; TensorFlow basics; PyTorch basics; Critical thinking; Collaboration; Creativity; Communication,Assist in AI prompt creation and testing; Support NLP tasks; Collaborate with AI/data science teams; Document prompt outcomes; Help integrate prompts with AI models,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
AI-E-011,AI Prompt Engineer,Experienced,3+,"Advanced Python; JavaScript advanced; Deep NLP expertise; Hugging Face Transformers; TensorFlow; PyTorch; Advanced prompt design (chain-of-thought, iterative optimization); OpenAI API; Azure Cognitive Services; Machine learning for prompt tuning; Data analysis; Collaboration; Problem-solving; Leadership; Creativity",Design and optimize prompts for LLMs; Apply advanced NLP techniques for prompt tuning; Collaborate with AI and data science teams; Implement AI model evaluation metrics; Develop prompt optimization strategies; Lead prompt-related projects; Mentor junior prompt engineers,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration; AI Ethics; Model Fine-tuning
AI-E-012,AI Prompt Engineer,Experienced,3+,Python advanced; JavaScript; NLP frameworks; Hugging Face Transformers; PyTorch; TensorFlow; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Machine learning analysis; Data visualization; Leadership; Problem-solving; Collaboration,Develop and fine-tune AI prompts; Lead prompt optimization initiatives; Collaborate with AI/data science teams for deployment; Design prompt evaluation metrics; Document prompt design patterns; Mentor junior engineers on prompt engineering best practices,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
AI-E-013,AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt design; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Critical thinking; Communication; Creativity,Lead prompt engineering efforts; Optimize prompt performance for LLMs; Collaborate with cross-functional AI teams; Implement prompt testing strategies; Provide mentorship on prompt engineering; Document prompt design improvements,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
AI-E-014,AI Prompt Engineer,Experienced,3+,Advanced Python; JavaScript; NLP techniques; TensorFlow; PyTorch; Hugging Face; Prompt iterative optimization; Chain-of-thought prompting; API integration (OpenAI/Azure); Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Design advanced prompts for AI models; Perform prompt evaluation and tuning; Collaborate with AI teams for integration; Implement metrics for prompt effectiveness; Lead knowledge sharing sessions on prompt engineering,Prompt Optimization; LLM; Python; AI Frameworks; API Integration; Model Fine-tuning
AI-E-015,AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; PyTorch; TensorFlow; Prompt optimization techniques; Chain-of-thought prompts; LLM tuning; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Problem-solving; Collaboration; Creativity,Lead development of AI prompt strategies; Optimize prompts for large-scale AI models; Mentor junior prompt engineers; Collaborate with AI and data teams; Document best practices for prompt design; Perform metrics-driven analysis of prompt effectiveness,Prompt Optimization; LLM; Machine Learning; NLP; Python; AI Frameworks; API Integration
AI-E-016,AI Prompt Engineer,Experienced,3+,Python; JavaScript; Advanced NLP; TensorFlow; PyTorch; Hugging Face; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity,Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI-E-017,AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face Transformers; TensorFlow; PyTorch; Chain-of-thought prompting; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analytics; Collaboration; Leadership; Problem-solving; Creativity; Critical thinking,Lead prompt optimization projects; Evaluate prompt performance; Collaborate with cross-functional teams; Mentor junior engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; NLP; Python; AI Frameworks; Model Fine-tuning
AI-E-018,AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face; PyTorch; TensorFlow; Prompt design optimization; Chain-of-thought prompting; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,"Design, test, and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI teams; Document best practices; Mentor junior engineers; Analyze prompt performance metrics",Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI-E-019,AI Prompt Engineer,Experienced,3+,Python; Advanced NLP; Hugging Face Transformers; TensorFlow; PyTorch; Prompt optimization techniques; Chain-of-thought prompts; OpenAI API; Azure Cognitive Services; Data analytics; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Develop and refine prompts for LLMs; Collaborate with AI/data teams; Lead prompt engineering projects; Mentor junior prompt engineers; Document prompt design patterns; Implement prompt evaluation metrics,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AI-E-020,AI Prompt Engineer,Experienced,3+,Advanced Python; NLP frameworks; Hugging Face; PyTorch; TensorFlow; Prompt chain-of-thought; Iterative prompt optimization; OpenAI API; Azure Cognitive Services; Data analysis; Leadership; Collaboration; Problem-solving; Creativity; Critical thinking,Lead prompt optimization projects; Design and refine prompts for AI models; Collaborate with cross-functional AI teams; Mentor junior engineers; Document prompt best practices; Implement evaluation metrics for prompt effectiveness,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
AND-F-01,Android Developer Intern,Fresher,0,Java; Kotlin; Android Studio; XML; REST APIs; SQLite; UI/UX Basics; Git; MVC,Assist in building small Android app modules.; Write clean code in Java and Kotlin under supervision.; Follow Material Design guidelines for UI development.; Integrate simple REST APIs and store data locally.; Participate in basic unit testing and debugging.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite; Mobile Development
AND-F-02,Junior Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; Git; REST API; SQLite; UI/UX Design,Develop Android app screens with XML layouts.; Collaborate with designers to implement UI components.; Integrate basic REST APIs and handle JSON responses.; Participate in peer code reviews.; Document small modules and features for clarity.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
AND-F-03,Android App Developer Trainee,Fresher,0,Kotlin; Java; Android Studio; UI/UX Basics; SQLite; MVC; REST APIs; Git,Implement small app features using Kotlin and Java.; Assist in connecting apps to APIs for basic data exchange.; Follow app architecture patterns (MVC) under supervision.; Debug minor issues using Android Studio tools.; Learn and apply version control using Git.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite
AND-F-04,Entry-level Android Developer,Fresher,0,Java; Kotlin; Android Studio; XML; Material Design; SQLite; REST API; Git,Build Android app screens and connect basic APIs.; Ensure responsive layouts and follow Material Design principles.; Write unit tests for small modules.; Document development workflows.; Collaborate with senior developers for guidance.,Java; Kotlin; Android Studio; Material Design; UI/UX Design; REST API; SQLite
AND-F-05,Android Developer Intern,Fresher,0,Kotlin; Java; Android Studio; XML; UI/UX Basics; Git; SQLite; REST API,Support the development of simple Android modules.; Implement layouts following Material Design.; Assist in connecting REST APIs for data retrieval.; Debug basic issues and document code.; Participate in team discussions and code reviews.,Kotlin; Java; Android Studio; Material Design; UI/UX Design; Android SDK; REST API; SQLite
